formula_id,paper_path,paper_start_line,paper_end_line,formula,meaning,code_path,code_line,code_statement,unit_test_path,unit_test_line,unit_test,runtime_evidence_in_generation
F001,docs/1/final/第一问_MILP_边际价值强化版.md,11,19,"\boxed{
\text{外网购电}
+
\text{光伏发电}
+
\text{储能放电}
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F002,docs/1/final/第一问_MILP_边际价值强化版.md,23,29,"\boxed{
\text{小区负荷}
+
\text{储能充电}
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F040,docs/1/final/第一问_MILP_边际价值强化版.md,383,387,"\boxed{
G_t,\quad S_t-W_t,\quad D_t
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F041,docs/1/final/第一问_MILP_边际价值强化版.md,397,401,"\boxed{
L_t,\quad C_t
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F042,docs/1/final/第一问_MILP_边际价值强化版.md,410,422,"\boxed{
\text{外网}
+
\text{有效光伏}
+
\text{储能放电}
\rightarrow
\text{负荷}
+
\text{储能充电}
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F047,docs/1/final/第一问_MILP_边际价值强化版.md,471,473,G_t+(S_t-W_t)+D_t.,母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F048,docs/1/final/第一问_MILP_边际价值强化版.md,477,479,L_t+C_t.,母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F049,docs/1/final/第一问_MILP_边际价值强化版.md,483,489,"\boxed{
G_t+(S_t-W_t)+D_t
=
L_t+C_t
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F050,docs/1/final/第一问_MILP_边际价值强化版.md,493,499,"\boxed{
G_t+S_t+D_t
=
L_t+C_t+W_t
}",母线来源、去向与平衡,src/q1/model.py,160,"for name, coefficient in ((""G"", 1), (""C"", -1), (""D"", 1), (""W"", -1)):",src/q1/test_q1.py,71,test_corrupted_schedules_rejected,raw/validation.json#main/metrics/11.1_balance_max_abs_kwh
F003,docs/1/final/第一问_MILP_边际价值强化版.md,44,48,"\boxed{
\text{具有跨时段储能耦合的确定性日前经济调度问题}
}",模型类型说明，由整数求解调用落实,src/q1/model.py,189,"result = milp(problem[""objective""], integrality=problem[""integer""],",src/q1/test_review.py,30,test_official_attachment_fresh_solve_golden_and_csv,raw/solution_main.json#solver
F004,docs/1/final/第一问_MILP_边际价值强化版.md,52,56,"\boxed{
\text{Mixed Integer Linear Programming（MILP）}
}",模型类型说明，由整数求解调用落实,src/q1/model.py,189,"result = milp(problem[""objective""], integrality=problem[""integer""],",src/q1/test_review.py,30,test_official_attachment_fresh_solve_golden_and_csv,raw/solution_main.json#solver
F005,docs/1/final/第一问_MILP_边际价值强化版.md,66,68,\Delta t=\frac{10}{60}=\frac16\text{ h},时长,src/q1/model.py,17,DT = 1 / 6  # 最终稿第 2、3 节：10 min，以 h 为单位。,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/parameters.json#dt_hours
F022,docs/1/final/第一问_MILP_边际价值强化版.md,207,209,\Delta t=\frac16\text{ h}.,时长,src/q1/model.py,17,DT = 1 / 6  # 最终稿第 2、3 节：10 min，以 h 为单位。,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/parameters.json#dt_hours
F006,docs/1/final/第一问_MILP_边际价值强化版.md,72,74,T=24\times6=144,时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F007,docs/1/final/第一问_MILP_边际价值强化版.md,78,80,"t=1,2,\ldots,144.",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F014,docs/1/final/第一问_MILP_边际价值强化版.md,135,137,"t=1,2,\ldots,144.",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F044,docs/1/final/第一问_MILP_边际价值强化版.md,440,442,"t=1,\ldots,144,",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F051,docs/1/final/第一问_MILP_边际价值强化版.md,503,505,"t=1,\ldots,144.",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F053,docs/1/final/第一问_MILP_边际价值强化版.md,535,537,"t=1,\ldots,144.",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F059,docs/1/final/第一问_MILP_边际价值强化版.md,583,585,"t=1,\ldots,144.",时段数和索引域,src/q1/model.py,16,T = 144,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F008,docs/1/final/第一问_MILP_边际价值强化版.md,84,88,"00{:}10
\longleftrightarrow
[00{:}00,00{:}10)",时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F009,docs/1/final/第一问_MILP_边际价值强化版.md,90,94,"00{:}20
\longleftrightarrow
[00{:}10,00{:}20)",时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F010,docs/1/final/第一问_MILP_边际价值强化版.md,98,102,"0{:}00+1
\longleftrightarrow
[23{:}50,24{:}00).",时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F011,docs/1/final/第一问_MILP_边际价值强化版.md,106,108,10{:}00-10{:}10,时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F012,docs/1/final/第一问_MILP_边际价值强化版.md,112,114,10{:}10,时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F013,docs/1/final/第一问_MILP_边际价值强化版.md,127,129,"10,20,\ldots,1440\ \text{min},",时间映射,src/q1/model.py,95,if endpoint != t * 10:,src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F015,docs/1/final/第一问_MILP_边际价值强化版.md,153,155,"P_t^L,\qquad P_t^{PV},",ZOH等效常量与单位转换,src/q1/model.py,107,"""load_kwh"": pl * DT, ""pv_kwh"": ppv * DT})",src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F016,docs/1/final/第一问_MILP_边际价值强化版.md,159,161,"P^L(\tau)=P_t^L,",ZOH等效常量与单位转换,src/q1/model.py,107,"""load_kwh"": pl * DT, ""pv_kwh"": ppv * DT})",src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F017,docs/1/final/第一问_MILP_边际价值强化版.md,163,165,P^{PV}(\tau)=P_t^{PV}.,ZOH等效常量与单位转换,src/q1/model.py,107,"""load_kwh"": pl * DT, ""pv_kwh"": ppv * DT})",src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
F018,docs/1/final/第一问_MILP_边际价值强化版.md,169,176,"L_t
=
\int_{(t-1)\Delta t}^{t\Delta t}
P^L(\tau)\,d\tau
=
P_t^L\Delta t,",ZOH等效常量与单位转换,src/q1/model.py,107,"""load_kwh"": pl * DT, ""pv_kwh"": ppv * DT})",src/q1/test_q1.py,36,test_time_and_unit_examples,inputs/processed/timeseries.csv
