用户要求,对应处理,验收依据,状态
把所有所需材料在项目里找出来,源码、题目附件、预处理、正式结果、模型、图表、实验、实际依赖已收集,文件清单.csv；正式运行和冻结源码核验,完成可确认材料；原始记录缺口另列
放到approval文件夹里面,原项目相对结构复制；文本指针解析为真实文件,每份副本SHA-256与项目原件核对,完成
缺失的跟我说,AI原始记录、14份旧版精确源码、Node导出依赖留存情况单列,README.md；源码版本核对.csv,已披露
不确定的就问我,已询问论文/AI材料与旧版及项目外资料,用户确认论文自理，项目文档齐全，无需项目外检索,已确认
approval里面加readme表示内容,分类内容、正式版本、结果链接、限制与附录事项,README.md链接及实际界面检查,完成
不要压缩,不创建ZIP/RAR/TAR；排除已有交付压缩包,目录扫描压缩包数量为0,完成
论文我来搞,本次不创建或修改论文正文及最终附录,README.md,遵照执行
AI使用报告按change_history和写作规范写,依据作者澄清和工作记录写明代码、计算调试、绘图程序及记录缺口,AI使用报告.md；../MetaWeave/写作规范.md及去AI味规则人工复核,已写成，未编造模型版本或问答
项目包含所有文档且没有额外查阅,收录本项目题面/模型/审查/实验文档，无新增外部资料,收集范围.json中的用户确认记录,遵照执行
把缺失说明删除掉,删除approval/缺失与核对说明.md，同步清单和导航,文件不存在；清单移除；README链接有效,完成
现在缺少什么必需品,按用户截图区分明确必交材料与可选追溯记录,已有源码/数据/结果/AI报告；论文附录和AI注明由作者处理；程序完整复现、最终压缩体积尚未验收,已说明现状
把AI使用报告里面的模型审查相关内容去掉，模型是人弄出来的,删除模型审查段和对应引用，明确数学模型由作者建立并确定，AI按既定模型编程,AI使用报告.md全文检查；相关小节及审查归因已移除，其他工作披露保留,完成
把润色语言有关内容去掉，可以写润色代码或者不写,移除图注/文字整理及报告起草相关描述，保留代码编写、调试、输出处理和绘图程序，不另加润色表述,AI使用报告.md全文搜索与人工语义检查,完成
