question,name,title,necessity,script,data,png,svg
q1,01_data_features,负荷、光伏与电价的日内变化特征,可选：背景说明,src/plots/q1_paper.py,outputs/processed/figures/q1/data_features.csv,outputs/processed/figures/q1/01_data_features.png,outputs/processed/figures/q1/01_data_features.svg
q1,02_optimal_dispatch,最优购电计划与储能运行轨迹,必选：核心结果,src/plots/q1_paper.py,outputs/processed/figures/q1/dispatch_power.csv;outputs/processed/figures/q1/storage_145.csv,outputs/processed/figures/q1/02_optimal_dispatch.png,outputs/processed/figures/q1/02_optimal_dispatch.svg
q1,03_cost_waterfall,逐步放宽调度限制的购电费用变化,建议：结果解释,src/plots/q1_paper.py,outputs/processed/figures/q1/cost_waterfall.csv;outputs/processed/figures/q1/baseline_metrics.csv,outputs/processed/figures/q1/03_cost_waterfall.png,outputs/processed/figures/q1/03_cost_waterfall.svg
q1,04_device_sensitivity,设备边界与最优购电费用,可选：瓶颈分析,src/plots/q1_paper.py,outputs/processed/figures/q1/device_one_dimensional.csv,outputs/processed/figures/q1/04_device_sensitivity.png,outputs/processed/figures/q1/04_device_sensitivity.svg
q1,05_joint_contour,储电上限与共同功率上限的联合敏感性,可选：联合敏感性,src/plots/q1_paper.py,outputs/processed/figures/q1/device_joint_grid.csv,outputs/processed/figures/q1/05_joint_contour.png,outputs/processed/figures/q1/05_joint_contour.svg
q1,06_efficiency,储能效率变化下的费用与运行轨迹,可选：效率稳健性,src/plots/q1_paper.py,outputs/processed/figures/q1/efficiency_metrics.csv;outputs/processed/figures/q1/efficiency_storage.csv,outputs/processed/figures/q1/06_efficiency.png,outputs/processed/figures/q1/06_efficiency.svg
q1,07_input_sensitivity,负荷与光伏输入扰动下的购电费用,可选：输入稳健性,src/plots/q1_paper.py,outputs/processed/figures/q1/input_sensitivity.csv,outputs/processed/figures/q1/07_input_sensitivity.png,outputs/processed/figures/q1/07_input_sensitivity.svg
q1,08_fixed_mode_diagnostic,固定模式边际价格的局部诊断,备查：局部诊断，不建议放正文,src/plots/q1_paper.py,outputs/processed/figures/q1/fixed_mode_marginals.csv;outputs/processed/figures/q1/milp_rhs_checks.csv,outputs/processed/figures/q1/08_fixed_mode_diagnostic.png,outputs/processed/figures/q1/08_fixed_mode_diagnostic.svg
q1,dispatch,原报告输入与运行组合图,历史报告，正文优先使用新图,src/plots/q1_legacy.py,outputs/q1_current/raw;outputs/q1_current/processed,outputs/processed/q1/dispatch.png,outputs/processed/q1/dispatch.svg
q1,efficiency,原报告效率图,历史报告，正文优先使用新图,src/plots/q1_legacy.py,outputs/q1_current/raw;outputs/q1_current/processed,outputs/processed/q1/efficiency.png,outputs/processed/q1/efficiency.svg
q1,marginal_analysis,原报告边际分析组合图,历史报告，正文优先使用新图,src/plots/q1_legacy.py,outputs/q1_current/raw;outputs/q1_current/processed,outputs/processed/q1/marginal_analysis.png,outputs/processed/q1/marginal_analysis.svg
