id,user_requirement,code_path,code_line,implementation,acceptance_evidence,status
PLOT-01,把所需的图都画出来,src/plots/q1_paper.py,17,8张图全部输出PNG/SVG，核心结果与分析任务分别覆盖,verification.json,passed
PLOT-02,绘图脚本要保留,src/plots/catalog.py,16,新图和原有图均登记真实脚本路径,../../src/plots/figure_registry.csv,passed
PLOT-03,并且集中管理,src/plots/run.py,10,统一命令与src/plots唯一绘图实现目录,verification.json,passed
PLOT-04,所有的绘图脚本都是,src/plots/verify.py,73,扫描全部项目源码，无分散绘图库导入；原Q1/Q2入口兼容,migration_verification.json,passed
PLOT-05,图一定要画得好看,src/plots/common.py,19,统一字体线宽留白；逐图检查并修正等值线可读性,ui_smoke.json,passed
PLOT-06,要分清楚必要和非必要,src/plots/q1_paper.py,261,必选核心图优先，建议/可选/备查明示,../../outputs/processed/figures/q1/figure_index.csv,passed
PLOT-07,科研级配色和图美丽,src/plots/common.py,6,固定深灰/橙/蓝/青绿/紫；费用使用浅青至深蓝,ui_smoke.json,passed
PLOT-08,第一问不需要算法流程图（截图背景与本轮选图判断）,src/plots/q1_paper.py,17,图目只包含结果及有数据支撑的分析，无流程图,../../src/plots/figure_registry.csv,passed
PLOT-09,结果图是核心,src/plots/q1_paper.py,20,最优运行作为唯一必选图，优先显示,ui_smoke.json,passed
PLOT-10,数据特征分面与富余光伏填充,src/plots/q1_paper.py,72,144阶梯区间；只填PV高于负荷区域；独立电价轴,verification.json,passed
PLOT-11,144区间功率、145点储量和真实充停放状态,src/plots/q1_paper.py,57,G/C/D除以DT；首尾6000；±5000与储量边界；不用u判待机,verification.json,passed
PLOT-12,嵌套基准费用瀑布图与指标,src/plots/q1_paper.py,110,3个费用总量加2个浮动节约；购电/弃光/费用表,verification.json,passed
PLOT-13,设备曲线需要真实多点求解,src/q1/device_sensitivity.py,42,三条曲线36行，共享重复点；提高100单位的数值真实,verification.json,passed
PLOT-14,二维图不能由一维曲线拼接,src/q1/device_sensitivity.py,54,110网格点独立MILP，原始变量压缩保留,verification.json,passed
PLOT-15,不凭曲线推断设备投资或饱和,src/q1/device_sensitivity.py,79,实验范围与固定量明示；30000仍有收益，不宣称饱和,acceptance.md,passed
PLOT-16,固定模式阈值须有限定,src/plots/q1_paper.py,32,标注576次原MILP对照及25项不匹配，非通用控制,verification.json,passed
PLOT-17,不用Office，表格用CSV,src/plots/common.py,10,全图配套数据CSV，浏览器无Office链接,ui_smoke.json,passed
PLOT-18,逐句验收、实际界面冒烟与README同步,src/plots/verify.py,21,本CSV逐句对应，49原有测试、自动图检、UI及目录树复核,acceptance.md,passed
