source_line,section,text,implementation,evidence
1,问题,# 问题 2 与问题 3 敏感性分析实验方案（时间受限版）,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
3,1.,## 1. 实验目的,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
5,1.,本实验不进行大规模全年参数搜索，而是在已有正式结果基础上，通过少量代表日的局部敏感性实验，检验问题 2 和问题 3 的主要结论是否依赖某个特定参数取值。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
7,1.,实验主要回答以下问题：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
9,1.,1. 参数在合理范围内扰动后，总购电成本是否保持稳定；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
10,1.,2. 紧急购电风险是否发生明显恶化；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
11,1.,3. 储能运行状态是否发生异常变化；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
12,1.,4. 模型的主要经济结论是否发生反转。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
14,1.,问题 2 当前已有实验主要集中于预测与场景覆盖、物理可行性以及经济结果评价，尚缺少独立的参数敏感性分析。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
16,1.,问题 3 已经设计了场景规模、尾部场景和终端储能价值等敏感性实验。本次不重新扩充实验体系，而是针对比赛剩余时间对实验规模进行压缩。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
18,1.,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
20,2.,## 2. 总体实验原则,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
22,2.,采用：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
24,2.,> **代表日 + 单因素扰动（OFAT）**,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
