user_requirement,implementation,verification,status
时间有限，调整精度,execution.py;rolling._solve,2%选择记录和三个实际难例、正式make_day验证,通过
精度由助手选择合适值,raw/solver_precision_revision.json,2/3/5%历史候选覆盖比较；2%真实证书与原反馈回放,通过
给第三问、第四问重复计算留时间,dispatch.run_main;experiments.run_experiments,新精度作为显式参数，可复用；当前仅第二问实际部署，不虚报Q3/Q4进展,第二问已完成，后续题未实施
保留前面已完成计算,rolling._run_rollout;execution_history,主和H1各85日旧策略/审计SHA、CSV值未变；末SOC连续,通过
降低精度后实际开始续算并自主验收,full_run.worker;full_run.supervise,39642监督；新主/H1已提交；77测试；实际IAB18/19,通过，全年仍计算中
缩短第二问计算以支持后续重复求解,rolling._solve首轮等价MILP;test_execution固定与三段排除,同实例三例120秒验证;78测试;主92/H1 107日复制回放;旧91/106前缀未变;IAB21报告说明,通过，全年仍计算中
3%、4%分别测试，列出1%—5%单位耗时,src/q2/benchmarks/precision_sweep.py;processed/timing_audit/precision_sweep.html,同一日同一输入同一算法；15候选逐值/证书/物理检查；120秒及超时如实标注；IAB25,五档限时实测完成；1%0/3、2%1/3，其余3/3；用户已要求不再加测
那就换成3%,raw/solver_precision_revision.json;execution.execution_settings;full_run.worker,新执行SHA afd9bf5f1f8a；两个真实worker active_solve.solver_gap=.03；IAB28实际3%,通过
继续跑,full_run.supervise;rolling._run_rollout,12:22:45新worker启动；主109→110、H1 132→139真实存档；旧末SOC与原始策略逐值保留,通过，全年仍计算中
保留此前已经计算的结果,rolling.execution_history;test_execution第二次精度迁移,1%→2%→3%迁移测试；6组462日前缀离线验收；实际新日独立回读与旧审计SHA相同,通过
卡住了？,full_run_state.json;进程CPU;active_solve.json;日志,12:20核对旧2%主109日、两个worker约99%CPU；切换前尚未生效已如实说明；现在正式3%新提交验证,已核实并完成原待办切换
依照方案和开发规范,final_report.py当前精度文字;test_execution.py迁移覆盖;不可变原方案,79项完整测试；物理/费用/输入/SOC验收；IAB28进度和IAB30报告；原方案SHA69a31915不变,本次通过；334日/27实验/result2待完成
