source_line,requirement,section,status,implementation,evidence,acceptance
1,# 问题四敏感性分析实验方案（时间受限版）,0,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::report::main,results.md,原方案标题完整保存
3,## 1. 实验目标,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
5,问题四在问题二、问题三的基础上进一步引入实时波动电价，并同时考虑：,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
7,1. 未来实时电价不确定性；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
8,2. 净负荷不确定性；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
9,3. 电价与净负荷之间的联合不确定性；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
10,4. 储能跨时段耦合；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
11,5. Wasserstein 分布鲁棒优化。,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
13,因此，问题四的敏感性分析主要检验模型自行引入的“不确定性描述参数”和“鲁棒优化参数”是否稳定，而不修改题目给定的电价倍率、储能容量、效率等物理条件。,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
15,实验主要回答以下问题：,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
17,1. Wasserstein 鲁棒半径发生合理变化后，真实运行成本和紧急购电风险是否稳定；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
18,2. 价格与净负荷在联合距离中的相对权重变化后，主要结论是否改变；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
19,3. 历史残差窗口变化后，最终调度结果是否稳定；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
20,4. 场景规模增加后，经济结果是否已经基本收敛；,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
21,5. 问题 4-2 中的参数稳定性是否能够迁移到问题 4-3 的四时点滚动调度。,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
