source_file,source_line,section,source_text,implementation,tests,runtime_evidence,status
docs/2/dierwen1.md,1,2.1,## 2.1 数据预处理与时间序列结构诊断,src/q2/run.py:68-135,src/q2/test_q2.py:293-312,report.html;results.md,implemented_and_checked
docs/2/dierwen1.md,3,2.1.1,### 2.1.1 数据特征与信息边界,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,5,2.1.1,附件 2 给出了 2025 年 1 月 1 日至 12 月 31 日不同时间点的小区负荷与光伏实际发电功率。,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,5,2.1.1,原始数据以日为单位记录，每日包含 144 个 10 min 时间间隔，因此负荷和光伏均构成高频连续时间序列。,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,7,2.1.1,问题 2 要求在每天 0:00 制定当日计划购电策略，因此在建立预测模型时必须严格遵循实际信息到达顺序。,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,7,2.1.1,为避免模型利用尚未发生的真实数据造成前视偏差，本文作如下信息集约定：,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,9,2.1.1,> 在第 \(d\) 日 0:00 制定计划时，仅允许使用第 \(d\) 日 0:00 以前已经实现的负荷与光伏数据；,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,9,2.1.1,第 \(d\) 日后续真实数据仅用于事后检验预测结果和计算实际紧急购电量。,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,11,2.1.1,因此，附件 2 中全年真实数据在模型中分别承担“历史训练数据”和“事后真实值”两种角色，而不直接作为当前日前决策的已知量。,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,13,2.1.1,---,src/q2/data.py:127-132;src/q2/backtest.py:26-51,src/q2/test_q2.py:135-149,rolling_folds.csv,implemented_and_checked
docs/2/dierwen1.md,15,2.1.2,### 2.1.2 原始数据结构重构,src/q2/data.py:74-124;src/q2/data.py:61-71,src/q2/test_q2.py:36-44,timeseries.csv,implemented_and_checked
docs/2/dierwen1.md,17,2.1.2,附件 2 原始数据采用“行表示日期、列表示日内时刻”的宽表形式。,src/q2/data.py:74-124;src/q2/data.py:61-71,src/q2/test_q2.py:36-44,timeseries.csv,implemented_and_checked
